Tool,kmer_size,CPU,RAM_megabytes,rerunning?
bfc,20,718.427,2822,no
bfc,22,709.357,2760,no
bfc,24,745.378,2760,no
bfc,26,714.139,2697,no
bfc,28,625.934,2697,no
bfc,30,719.365,2697,no
coral,20,3172.725,9037,no
coral,22,2388.24,9118,no
coral,24,2086.24,9183,no
coral,26,2089.037,9234,no
coral,28,1921.169,9274,no
coral,30,1852.138,9301,no
lighter,20,409.935,439.543,no
lighter,22,509.704,439.547,no
lighter,24,395.31,439.539,no
lighter,26,439.196,439.543,no
lighter,28,459.701,439.539,no
lighter,30,477.71,439.543,no
pollux,20,28985.83,4546,yes
pollux,22,19551.872,4642,yes
pollux,24,8521.056,4727,yes
pollux,26,11079.407,7783,no
pollux,28,8274.622,7737,no
pollux,30,6497.331,7769,no
reckoner,20,329.777,4256,no
reckoner,22,274.84,4256,no
reckoner,24,375.438,4256,no
reckoner,26,325.967,4256,no
reckoner,28,375.092,4256,no
reckoner,30,379.394,4256,no
sga,20,1622.689,396.711,no
sga,22,1540.116,396.711,no
sga,24,1856.927,396.711,no
sga,26,2039.456,396.711,no
sga,28,5064.1,396.711,no
sga,30,2069.71,396.711,no
racer,20,1008.158,4765,no
racer,22,1098.218,3476,no
racer,24,1.585,310.824,yes
racer,26,492.422,3218,no
racer,28,1.072,310.824,yes
racer,30,492.422,4765,no
musket,20,651.609,1071.98,no
musket,22,715.609,999.637,no
musket,24,715.656,1105.579,no
musket,26,715.602,1131.318,no
musket,28,715.625,1064.368,no
musket,30,1147.077,715.586,no
fiona,20,3.054,3401.469,no
fiona,22,3.037,3908.543,no
fiona,24,3.062,3367.875,no
fiona,26,3.037,4006.44,no
fiona,28,3.037,4065.13,no
fiona,30,4214.768,3037,no
bless,20,4.725,386.983,no
bless,22,2.539,425.807,no
bless,24,4.26,706.253,no
bless,26,2.582,409.87,no
bless,28,7.069,687.754,no
bless,30,704.272,4625,no